Bna	Ath_uniprot	Ath_agi	ACK_block	consensus_ACK	consensus_score	Ath_position	Ath_increment
A01p00020.1_BnaDAR	Q9SVE5	AT4G38400	U	U	1689.01	27236	0
A01p00020.1_BnaDAR	Q9LZT5	AT3G45960	M	U	1689.01	17087	-10149
A01p00020.1_BnaDAR	Q9LZT4	AT3G45970	M	U	1689.01	17088	1
A01p00030.1_BnaDAR	Q39108	AT4G38460	U	U	2416.04	27243	10155
A01p00040.1_BnaDAR	F4JTP5	AT4G38470	U	U	3364.47	27244	1
A01p00050.1_BnaDAR	Q8RWS0	AT4G38495	U	U	3322.35	27247	3
A01p00060.1_BnaDAR	Q8GYY3	AT4G38670	U	U	3746.2	27264	17
A01p00080.1_BnaDAR	F4JUF8	AT4G38700	U	U	3895.2	27267	3
A01p00090.1_BnaDAR	Q9T0I5	AT4G38770	U	U	3954.22	27272	5
A01p00120.1_BnaDAR	Q9T0J5	AT4G38880	U	U	4783.19	27286	14
A01p00130.1_BnaDAR	Q9T0J6	AT4G38890	U	U	5469.77	27287	1
A01p00140.1_BnaDAR	F4JUI9	AT4G38950	U	U	5951.33	27294	7
A01p00150.1_BnaDAR	Q944G9	AT4G38970	U	U	6003.24	27296	2
A01p00160.1_BnaDAR	Q8GY58	AT4G39000	U	U	6213.97	27299	3
A01p00170.1_BnaDAR	Q93YQ7	AT4G39010	U	U	6453.94	27300	1
A01p00180.1_BnaDAR	Q945F0	AT4G39030	U	U	6572.74	27302	2
A01p00190.1_BnaDAR	Q0IGM7	AT4G39070	U	U	6292.84	27306	4
A01p00200.1_BnaDAR	Q8W4S4	AT4G39080	U	U	7073.12	27307	1
A01p00210.1_BnaDAR	P43296	AT4G39090	U	U	6733.93	27308	1
A01p00230.1_BnaDAR	Q9T020	AT4G39110	U	U	7209.35	27310	2
A01p00250.1_BnaDAR	Q9T022	AT4G39130	U	U	6417.97	27312	2
A01p00260.1_BnaDAR	Q9T023	AT4G39140	U	U	6688.48	27313	1
A01p00270.1_BnaDAR	Q9T024	AT4G39150	U	U	6655.28	27314	1
A01p00290.1_BnaDAR	F4JVB8	AT4G39250	U	U	6428.14	27325	11
A01p00300.1_BnaDAR	Q03251	AT4G39260	U	U	6442.19	27326	1
A01p00310.1_BnaDAR	Q9T036	AT4G39300	U	U	6468.12	27330	4
A01p00320.1_BnaDAR	Q9T038	AT4G39320	U	U	6452.42	27331	1
A01p00330.1_BnaDAR	O48947	AT4G39350	U	U	7813.76	27334	3
A01p00340.1_BnaDAR	Q5Q0B1	AT4G39360	U	U	6968.78	27335	1
A01p00350.1_BnaDAR	Q8RWW7	AT4G39390	U	U	7317.22	27338	3
A01p00360.1_BnaDAR	O22476	AT4G39400	U	U	7884.97	27339	1
A01p00370.1_BnaDAR	Q9SVB7	AT4G39410	U	U	7555.15	27341	2
A01p00380.1_BnaDAR	F4JW20	AT4G39420	U	U	10309.1	27342	1
A01p00390.1_BnaDAR	Q9SVA7	AT4G39510	U	U	7105.93	27348	6
A01p00400.1_BnaDAR	Q9SVA6	AT4G39520	U	U	6696.31	27349	1
A01p00420.1_BnaDAR	Q8GY88	AT4G39540	U	U	6227.09	27351	2
A01p00430.1_BnaDAR	Q9M0U2	AT4G39560	U	U	5998.6	27353	2
A01p00440.1_BnaDAR	Q1PE10	AT4G39590	U	U	5984.58	27356	3
A01p00440.1_BnaDAR	Q9SY96	AT1G61540	D	U	5984.58	5106	-22250
A01p00460.1_BnaDAR	Q1PE10	AT4G39590	U	U	5833.7	27356	22250
A01p00460.1_BnaDAR	Q9SY96	AT1G61540	D	U	5833.7	5106	-22250
A01p00490.1_BnaDAR	Q94A40	AT2G21390	I	U	5586.76	20397	15291
A01p00490.1_BnaDAR	Q9SJT9	AT2G21390	I	U	5586.76	20397	0
A01p00500.1_BnaDAR	A0A1P8AVP6	AT1G54957	NA	U	5586.76	4581	-15816
