genes	chrom	block	hex	rgb
AT1G01010	1	A	#faec29	250,236,41
AT1G01020	1	A	#faec29	250,236,41
AT1G01030	1	A	#faec29	250,236,41
AT1G01040	1	A	#faec29	250,236,41
AT1G01046	1	A	#faec29	250,236,41
AT1G01050	1	A	#faec29	250,236,41
AT1G01060	1	A	#faec29	250,236,41
AT1G01070	1	A	#faec29	250,236,41
AT1G01073	1	A	#faec29	250,236,41
AT1G01080	1	A	#faec29	250,236,41
AT1G01090	1	A	#faec29	250,236,41
AT1G01100	1	A	#faec29	250,236,41
AT1G01110	1	A	#faec29	250,236,41
AT1G01115	1	A	#faec29	250,236,41
AT1G01120	1	A	#faec29	250,236,41
AT1G01130	1	A	#faec29	250,236,41
AT1G01140	1	A	#faec29	250,236,41
AT1G01150	1	A	#faec29	250,236,41
AT1G01160	1	A	#faec29	250,236,41
AT1G01170	1	A	#faec29	250,236,41
AT1G01180	1	A	#faec29	250,236,41
AT1G01183	1	A	#faec29	250,236,41
AT1G01190	1	A	#faec29	250,236,41
AT1G01200	1	A	#faec29	250,236,41
AT1G01210	1	A	#faec29	250,236,41
AT1G01220	1	A	#faec29	250,236,41
AT1G01225	1	A	#faec29	250,236,41
AT1G01230	1	A	#faec29	250,236,41
AT1G01240	1	A	#faec29	250,236,41
AT1G01250	1	A	#faec29	250,236,41
AT1G01260	1	A	#faec29	250,236,41
AT1G01270	1	A	#faec29	250,236,41
AT1G01280	1	A	#faec29	250,236,41
AT1G01290	1	A	#faec29	250,236,41
AT1G01300	1	A	#faec29	250,236,41
AT1G01305	1	A	#faec29	250,236,41
AT1G01310	1	A	#faec29	250,236,41
AT1G01320	1	A	#faec29	250,236,41
AT1G01340	1	A	#faec29	250,236,41
AT1G01350	1	A	#faec29	250,236,41
AT1G01355	1	A	#faec29	250,236,41
AT1G01360	1	A	#faec29	250,236,41
AT1G01370	1	A	#faec29	250,236,41
AT1G01380	1	A	#faec29	250,236,41
AT1G01390	1	A	#faec29	250,236,41
AT1G01400	1	A	#faec29	250,236,41
AT1G01410	1	A	#faec29	250,236,41
AT1G01420	1	A	#faec29	250,236,41
AT1G01430	1	A	#faec29	250,236,41
AT1G01440	1	A	#faec29	250,236,41
AT1G01448	1	A	#faec29	250,236,41
AT1G01450	1	A	#faec29	250,236,41
AT1G01453	1	A	#faec29	250,236,41
AT1G01460	1	A	#faec29	250,236,41
AT1G01470	1	A	#faec29	250,236,41
AT1G01471	1	A	#faec29	250,236,41
AT1G01480	1	A	#faec29	250,236,41
AT1G01490	1	A	#faec29	250,236,41
AT1G01500	1	A	#faec29	250,236,41
AT1G01510	1	A	#faec29	250,236,41
AT1G01520	1	A	#faec29	250,236,41
AT1G01530	1	A	#faec29	250,236,41
AT1G01540	1	A	#faec29	250,236,41
AT1G01550	1	A	#faec29	250,236,41
AT1G01560	1	A	#faec29	250,236,41
AT1G01570	1	A	#faec29	250,236,41
AT1G01580	1	A	#faec29	250,236,41
AT1G01590	1	A	#faec29	250,236,41
AT1G01600	1	A	#faec29	250,236,41
