Q9FFN1	AT5G03800
Q9LUJ2	AT3G22690
Q9LN01	AT1G08070
Q9LSB8	AT3G15930
O23337	AT4G14820
O82380	AT2G29760
Q9SR82	AT3G08820
Q9CAY1	AT3G11460
Q9SUH6	AT4G30700
P0C899	AT3G49142
Q9LW32	AT3G26782
O81767	AT4G33990
Q3E6Q1	AT1G11290
Q7Y211	AT3G57430
O80647	AT2G39620
Q9LYV3	AT5G13230
Q9LUS3	AT3G16610
Q9SN39	AT4G18750
Q9M9E2	AT1G15510
Q9LTV8	AT3G12770
Q9SVP7	AT4G13650
Q9ZUW3	AT2G27610
Q9LYU9	AT5G13270
Q5G1T1	AT3G49170
Q9FIB2	AT5G09950
Q9LSL8	AT5G65570
Q8VYH0	AT4G15720
Q9LUL5	AT3G14330
Q9LNU6	AT1G20230
Q9LW63	AT3G23330
O23169	AT4G37170
P93011	AT2G33760
Q9ZVF4	AT2G01510
Q9STF3	AT3G46790
Q9FFG8	AT5G44230
Q8S9M4	AT2G41080
Q9CAA8	AT1G68930
Q9FXB9	AT1G56690
Q9SI53	AT2G03880
Q9M2Y7	AT3G49710
Q9FK93	AT5G39680
Q9M2E7	AT3G61170
Q9LTF4	AT5G52630
Q9LZ19	AT5G04780
Q9LIQ7	AT3G24000
Q9LIC3	AT3G13770
Q9M1V3	AT3G63370
Q9LFL5	AT5G16860
Q9SY02	AT4G02750
Q9SHZ8	AT2G22070
Q9SMZ2	AT4G33170
Q9M4P3	AT4G16835
Q9LRV9	AT3G13880
O23266	AT4G14050
Q9FND6	AT5G40410
Q9FRI5	AT1G25360
Q0WSH6	AT4G14850
Q9MA85	AT3G05340
O80488	AT1G09190
Q9FMA1	AT5G56310
Q9C7V5	AT1G64310
P0C8Q2	AT4G19191
O23491	AT4G16470
Q5XEY7	AT4G14170
Q9LVF9	AT3G21470
Q9XE98	AT4G04370
Q9SY75	AT1G10330
F4I4G1	AT1G16480
Q38959	AT3G26630
Q9LND4	AT1G06140
Q9S7F4	AT3G02010
Q9FXH1	AT1G19720
P0C898	AT3G15130
Q9SIT7	AT2G13600
O64766	AT2G35030
Q9SB36	AT4G25270
Q9C9I6	AT1G71490
Q4V389	AT1G22830
Q84MA3	AT4G32430
Q0WNP3	AT4G18520
Q9FWA6	AT3G02330
Q9FHF9	AT5G46460
Q9FK33	AT5G50390
Q9LFI1	AT3G53360
Q9CA56	AT1G74600
P93005	AT2G33680
Q9SS83	AT3G09040
Q9SVA5	AT4G39530
Q9SVH0	AT4G20770
O04659	AT5G27110
Q9LUC2	AT3G14730
Q9MA95	AT3G05240
Q9LR69	AT1G03540
Q9FJY9	AT5G66500
Q9SKQ4	AT2G21090
Q9ZVG8	AT1G26900
Q9FLS9	AT5G61800
Q9FXA9	AT1G56570
Q9STS9	AT3G47840
Q9FLX6	AT5G52850
Q9ZQA1	AT2G36730
Q9SCT2	AT3G50420
Q9C8L6	AT1G53600
Q7XJN6	AT2G40720
Q9M2Y4	AT3G49740
Q9SS60	AT3G03580
Q9C501	AT1G33350
Q9LS72	AT3G29230
Q9FNN7	AT5G08510
Q9MA50	AT1G05750
Q0WVP2	AT1G13410
Q9SIL5	AT2G20540
Q9ZUT5	AT2G37310
Q9LU94	AT3G25970
Q9LIE7	AT3G22150
Q9SV26	AT4G01030
Q9SUF9	AT4G08210
Q1PFA6	AT2G02750
Q9SII7	AT2G17210
Q3E9N1	AT4G39952
Q9SN85	AT3G47530
Q9FG85	AT5G43790
Q9C6T2	AT1G31920
Q0WQW5	AT1G59720
Q9FX24	AT1G34160
A8MQA3	AT4G21065
Q683I9	AT3G62890
Q9FI80	AT5G48910
Q9FJY7	AT5G66520
Q9FG16	AT5G06540
Q9FND7	AT5G40405
Q9SZT8	AT4G37380
Q8LK93	AT2G02980
Q9FI49	AT5G50990
Q9C9H9	AT1G71420
Q9STE1	AT4G21300
Q9FLZ9	AT5G39350
Q0WN60	AT1G18485
O65543	AT4G31070
O49619	AT4G35130
Q9LXF2	AT5G15300
Q9CA54	AT1G74630
Q9LXY5	AT3G56550
Q9SJZ3	AT2G22410
O64705	AT2G34400
Q9SZK1	AT4G38010
Q9C866	AT1G31430
O49399	AT4G18840
Q9SJG6	AT2G42920
Q9C507	AT1G69350
Q9SS97	AT3G01580
Q9LJ69	AT3G18970
Q9ZUT4	AT2G37320
Q9LQ28	AT1G33760
Q9C9I2	AT1G71450
Q9SUK8	AT4G16750
Q9ZQP3	AT2G35700
Q9M210	AT3G60490
Q8LBQ7	AT2G44940
O80654	AT1G77200
Q9LU18	AT3G16280
Q9M080	AT4G32800
Q52QU1	AT2G25820
Q39127	AT5G25810
Q9LYD3	AT5G11590
Q9LPE8	AT1G44830
Q9CAP4	AT1G77640
Q9SFE4	AT1G21910
Q84QC2	AT1G19210
Q9S7L5	AT1G74930
Q9C591	AT5G21960
Q6NLD5	AT4G31060
Q9SW63	AT4G36900
Q9FH94	AT5G67190
Q9SNE1	AT3G50260
O22174	AT2G23340
Q8W3M3	AT4G06746
Q9C9I8	AT1G71520
O80542	AT1G22810
Q9FJ90	AT5G52020
Q38Q39	AT1G12630
Q9SJR0	AT2G36450
Q1ECI2	AT1G01250
Q94AW5	AT5G25190
Q8GW17	AT1G25470
Q9CA27	AT1G68550
Q9LUA2	AT3G25890
Q9SUQ2	AT4G23750
O82503	AT4G11140
Q9SUE3	AT4G27950
Q9FK12	AT5G53290
O82339	AT2G46310
Q9M374	AT3G61630
Q8W4I5	AT1G22985
Q9C995	AT1G71130
Q6J9S1	AT5G19790
Q9FH54	AT5G61890
Q9LY29	AT5G07310
Q9LYU3	AT5G13330
Q9FGF8	AT5G64750
Q9SZ06	AT4G34410
P93007	AT2G33710
Q9LUM4	AT3G14230
Q9SSA8	AT1G53910
P42736	AT3G16770
Q8H0T5	AT1G72360
O22259	AT2G47520
Q9SAD4	AT1G12980
Q9FYK5	AT1G24590
Q6J9Q2	AT5G18560
Q9FZ90	AT1G28160
Q9M644	AT5G13910
Q3E703	AT1G12890
O80339	AT1G50640
Q9LDE4	AT3G20310
Q9M8M5	AT1G80580
Q94ID6	AT1G28360
Q9FE67	AT5G44210
Q9C5I3	AT1G28370
O80340	AT3G15210
Q9MAI5	AT1G53170
Q9LTC6	AT3G23220
P93822	AT1G04370
Q9LSX0	AT5G43410
Q9LTC5	AT3G23230
O49515	AT4G18450
O80338	AT5G47220
O80337	AT4G17500
Q8L9K1	AT2G44840
Q9LND1	AT1G06160
Q8VYM0	AT2G31230
Q8LDC8	AT3G23240
Q9LY05	AT5G07580
Q9FKG2	AT5G61590
Q9FKG1	AT5G61600
Q8VY90	AT5G51190
O80341	AT5G47230
Q8VZ91	AT4G17490
A0MES8	AT2G40220
O82133	AT3G11020
O82132	AT5G05410
Q9SIZ0	AT2G40350
Q9LQZ2	AT1G75490
P61827	AT5G18450
Q9SVX5	AT3G57600
O80917	AT2G38340
Q9SKT1	AT2G20880
Q9M0J3	AT4G28140
Q9FJQ2	AT5G65130
Q9SVQ0	AT4G13620
Q9C7W2	AT1G64380
Q9LM15	AT1G22190
Q8H1E4	AT1G78080
Q9SIE4	AT2G22200
Q9SKW5	AT1G36060
O65665	AT4G39780
Q9LMD1	AT1G18960
Q9LRU5	AT3G30210
Q9LK14	AT3G24310
Q9FGY3	AT5G49620
Q9LDE1	AT3G06490
Q39028	AT2G47190
Q9C9G7	AT1G68320
A0A1P8ARZ7	AT1G25340
Q9LK95	AT3G27810
Q9SCP1	AT3G53200
Q4JL84	AT5G59780
A0A178VEK7	AT3G60460
Q9FNV9	AT1G66370
Q9C9A5	AT1G71030
Q9SSA1	AT3G01530
Q9SEI0	AT5G14750
Q96276	AT5G40330
P27900	AT3G27920
Q9LTF7	AT5G52600
F4JSU0	AT4G37780
Q9M2Y9	AT3G49690
O49538	AT5G65790
Q9FKL2	AT5G57620
Q9SJL7	AT2G36890
Q9FG68	AT5G23000
Q9XHV0	AT5G56110
Q9FJA2	AT5G35550
Q9FJ07	AT5G49330
O22264	AT2G47460
Q38850	AT3G13540
Q9FR97	AT3G11440
Q8W1W6	AT5G06100
O80883	AT2G32460
Q94FL7	AT5G55020
Q9SZP1	AT4G38620
Q42379	AT2G16720
O49608	AT4G34990
Q38851	AT4G09460
Q9S9K9	AT1G22640
Q8VZQ2	AT1G09540
Q9ZSI4	AT4G01680
Q8LPH6	AT5G26660
Q9LTW2	AT3G12720
Q9SPG3	AT3G13890
Q9M0K4	AT4G25560
Q9LTJ5	AT5G52260
Q9SMT1	AT3G48920
Q9LXV2	AT5G12870
Q9C6U1	AT3G08500
Q9SRB0	AT1G63910
F4K6R6	AT5G14340
Q9SNW9	AT5G62320
Q9C7U7	AT1G66230
Q9SPG7	AT5G16600
Q94GA6	AT4G22680
Q9S9Z2	AT1G34670
Q9SBF3	AT5G10280
Q9FJP2	AT5G65230
Q9LDI5	AT3G02940
F4KE69	AT5G16770
Q9M0J5	AT4G28110
Q9LDR8	AT4G21440
Q9M0Y5	AT4G05100
Q9M2D9	AT3G61250
Q9LTC4	AT3G23250
Q9LNC9	AT1G06180
Q9SJX8	AT2G31180
Q9LTV4	AT3G12820
Q9SGU3	AT1G56160
Q9SA47	AT1G16490
Q6R0A6	AT1G79180
Q8GYP5	AT1G08810
Q9CA52	AT1G74650
Q9SCU7	AT3G28910
Q24JK1	AT5G62470
Q9LE63	AT3G01140
Q9LXF1	AT5G15310
F4IWB9	AT3G20935
O23391	AT4G15350
Q9LJY6	AT3G20120
Q8L7H7	AT4G15380
Q9LJY4	AT3G20140
Q9LIG7	AT3G20960
Q9FH67	AT5G42580
Q9LJY5	AT3G20130
F4I6I6	AT1G50520
O48532	AT2G42250
Q9FL56	AT5G06900
Q9SD85	AT5G07990
Q9CA60	AT1G74550
O22203	AT2G40890
Q9LNJ4	AT1G01280
F4JW83	AT5G04330
Q42600	AT4G36220
Q9STK9	AT3G48290
Q9STL0	AT3G48300
O49342	AT2G30770
Q9LTM2	AT3G26190
O65784	AT3G53280
Q9LTM7	AT3G26150
Q9LTM6	AT3G26160
Q9LTM3	AT3G26180
Q9LTL2	AT3G26270
Q9LTL8	AT3G26230
O65788	AT1G13080
Q9SAE4	AT1G13100
Q96514	AT1G13110
Q9LTM0	AT3G26210
P48421	AT4G13770
O65782	AT4G31500
O64718	AT2G02580
Q9LTL0	AT3G26290
Q9LVD2	AT5G57260
O65787	AT2G24180
P58051	AT5G25180
F4K599	AT5G06905
Q9LUL6	AT3G14320
Q9ZV51	AT2G18670
Q9M0C3	AT4G30370
Q9C919	AT1G53010
Q6AWX4	AT1G51930
Q9FN58	AT5G41430
Q9LY41	AT3G60220
Q570X5	AT1G33480
Q9SN28	AT4G10150
Q9SN27	AT4G10160
Q84TF5	AT4G24015
Q8RX29	AT2G35910
Q9FG21	AT5G06490
Q9M313	AT3G61550
O82353	AT2G46160
Q9FL42	AT5G07040
Q9ZV22	AT2G28920
Q8L9W3	AT5G42200
Q9SLC3	AT2G42360
Q9SLC4	AT2G42350
O22953	AT2G34000
Q6NKR1	AT2G35420
O49691	AT4G17920
Q9FIR0	AT5G46650
Q8W571	AT4G40070
O64763	AT2G35000
Q9SK92	AT1G22500
Q84W40	AT1G72200
Q8LGA5	AT5G27420
Q8RXX9	AT3G05200
Q9M0R6	AT4G09110
Q9M0R7	AT4G09100
Q9SRM0	AT3G11110
Q9SJJ7	AT2G27940
P0C034	AT1G49220
Q9LS99	AT3G18773
Q6NQG7	AT1G49230
Q9LZV8	AT5G01880
Q9FLC6	AT5G05280
Q9ZT49	AT4G35480
O22755	AT2G17450
Q8LC69	AT1G76410
Q9LM69	AT1G20823
Q9FGJ6	AT5G47610
Q940N3	AT4G17245
Q9SRQ8	AT3G03550
Q9LF64	AT5G17600
P0C041	AT4G17905
Q9LX93	AT5G10380
F4JJ02	AT4G33565
Q8LFY8	AT1G72220
Q9SL78	AT2G20030
Q5XF85	AT4G28890
Q5EAE9	AT5G05810
O80927	AT2G37580
B3H6J7	AT2G44581
Q1G3N1	AT3G60966
Q9LZJ6	AT3G62690
Q8L9T5	AT3G16720
P0C035	AT1G53820
Q9XF63	AT1G72310
Q9SA75	AT1G30600
Q9SUN6	AT4G20430
Q9FI12	AT5G44530
F4HYR6	AT1G62340
O64481	AT2G19170
Q9SZV5	AT4G30020
O49607	AT4G34980
Q9LUM3	AT3G14240
Q9LVJ1	AT3G14067
Q9FLI4	AT5G51750
